person_home_ownership,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file
3,16.02,1.0,0.59,1.0
2,11.14,0.0,0.1,0.0
0,12.87,1.0,0.57,0.0
3,15.23,1.0,0.53,0.0
3,14.27,1.0,0.55,1.0
2,7.14,1.0,0.25,0.0
3,12.42,1.0,0.45,0.0
3,11.11,1.0,0.44,0.0
3,8.9,1.0,0.42,0.0
2,14.74,1.0,0.16,0.0
3,10.37,1.0,0.41,0.0
2,8.63,1.0,0.45,0.0
3,7.9,1.0,0.37,0.0
3,18.39,1.0,0.32,0.0
3,7.9,0.0,0.3,0.0
0,10.65,0.0,0.06,0.0
3,7.9,0.0,0.29,0.0
3,20.25,1.0,0.32,0.0
3,18.25,1.0,0.31,0.0
0,10.99,1.0,0.16,0.0
3,7.49,0.0,0.22,0.0
3,16.77,0.0,0.25,1.0
3,17.58,1.0,0.52,0.0
2,7.29,0.0,0.14,0.0
3,14.54,1.0,0.42,1.0
3,12.68,1.0,0.49,0.0
0,17.74,1.0,0.42,1.0
2,9.32,0.0,0.13,0.0
3,9.99,1.0,0.5,0.0
1,12.84,1.0,0.35,1.0
2,11.12,1.0,0.17,0.0
3,6.62,0.0,0.27,0.0
3,14.17,1.0,0.33,1.0
3,13.85,0.0,0.08,0.0
0,13.49,0.0,0.03,0.0
2,7.51,1.0,0.21,0.0
3,18.39,1.0,0.63,0.0
3,14.54,1.0,0.47,1.0
3,16.89,1.0,0.4,1.0
3,17.99,1.0,0.41,0.0
2,12.69,1.0,0.21,0.0
0,7.88,0.0,0.07,0.0
2,19.41,0.0,0.08,1.0
2,10.38,0.0,0.03,0.0
0,15.33,0.0,0.08,0.0
0,16.45,0.0,0.06,0.0
3,7.49,1.0,0.37,0.0
3,12.69,1.0,0.38,0.0
3,6.62,1.0,0.34,0.0
3,18.62,1.0,0.38,1.0
3,15.23,1.0,0.33,1.0
3,10.65,1.0,0.31,0.0
3,7.9,0.0,0.25,0.0
3,15.96,0.0,0.04,1.0
3,11.48,0.0,0.07,0.0
3,7.29,0.0,0.23,0.0
3,5.99,0.0,0.23,0.0
2,11.58,0.0,0.04,0.0
0,15.7,1.0,0.1,0.0
3,15.99,1.0,0.42,0.0
0,14.84,0.0,0.13,1.0
2,10.99,0.0,0.11,0.0
0,14.42,0.0,0.08,1.0
0,6.99,0.0,0.04,0.0
3,13.49,0.0,0.1,0.0
2,13.61,1.0,0.25,1.0
3,7.9,1.0,0.43,0.0
3,7.49,1.0,0.33,0.0
2,7.51,1.0,0.51,0.0
3,9.91,1.0,0.32,0.0
2,13.48,1.0,0.35,1.0
2,7.14,1.0,0.4,0.0
3,15.99,1.0,0.34,1.0
3,12.98,0.0,0.07,1.0
3,13.57,0.0,0.02,0.0
3,12.69,0.0,0.28,0.0
3,8.9,0.0,0.25,0.0
3,11.11,0.0,0.19,0.0
0,15.68,1.0,0.27,1.0
3,13.06,1.0,0.39,1.0
3,15.62,1.0,0.37,1.0
3,13.49,1.0,0.33,1.0
3,11.71,1.0,0.42,0.0
3,12.69,0.0,0.21,0.0
2,13.57,0.0,0.13,0.0
3,10.99,1.0,0.42,0.0
0,14.27,0.0,0.09,1.0
2,8.88,0.0,0.09,0.0
0,12.18,0.0,0.09,0.0
0,14.42,1.0,0.05,1.0
0,14.17,0.0,0.11,1.0
0,13.99,0.0,0.15,0.0
3,10.99,1.0,0.3,0.0
0,5.42,1.0,0.16,0.0
2,13.61,0.0,0.14,0.0
3,12.73,1.0,0.59,1.0
2,12.87,1.0,0.23,1.0
0,9.91,1.0,0.28,0.0
0,11.49,0.0,0.09,0.0
0,19.91,0.0,0.13,1.0
0,10.65,1.0,0.16,0.0
0,11.83,1.0,0.35,0.0
2,13.49,1.0,0.18,1.0
3,14.59,1.0,0.6,1.0
3,9.64,1.0,0.52,0.0
2,14.59,1.0,0.28,0.0
3,16.35,1.0,0.59,1.0
3,10.99,1.0,0.51,0.0
0,18.67,0.0,0.11,0.0
3,9.32,0.0,0.01,0.0
3,8.63,0.0,0.03,0.0
0,10.08,0.0,0.11,0.0
3,11.83,1.0,0.51,0.0
3,7.9,1.0,0.5,0.0
3,5.99,1.0,0.5,0.0
3,15.33,1.0,0.57,0.0
3,11.83,1.0,0.5,0.0
3,10.36,1.0,0.5,0.0
3,12.23,1.0,0.5,0.0
3,11.11,1.0,0.48,0.0
2,7.9,1.0,0.38,0.0
0,11.58,0.0,0.11,0.0
0,8.9,0.0,0.1,0.0
0,16.07,0.0,0.12,0.0
0,14.22,0.0,0.09,1.0
0,14.79,0.0,0.16,1.0
0,7.88,0.0,0.06,0.0
3,13.22,1.0,0.48,0.0
3,11.86,1.0,0.54,0.0
3,13.43,1.0,0.47,1.0
3,15.28,1.0,0.53,1.0
3,17.93,1.0,0.53,0.0
0,9.25,0.0,0.11,0.0
2,12.98,1.0,0.34,0.0
0,10.62,0.0,0.08,0.0
2,11.83,0.0,0.1,0.0
3,18.43,1.0,0.52,0.0
3,11.36,1.0,0.45,0.0
3,15.65,1.0,0.45,1.0
3,13.22,1.0,0.45,1.0
3,12.87,1.0,0.45,0.0
2,13.04,0.0,0.1,0.0
0,17.58,1.0,0.12,1.0
2,17.04,1.0,0.56,0.0
3,10.99,1.0,0.42,0.0
3,11.11,1.0,0.42,0.0
3,14.83,1.0,0.46,1.0
3,12.69,0.0,0.06,0.0
0,13.49,0.0,0.06,0.0
0,14.65,0.0,0.08,0.0
3,16.82,1.0,0.46,0.0
3,12.73,1.0,0.42,0.0
3,10.25,1.0,0.42,0.0
3,10.99,1.0,0.42,0.0
3,12.73,1.0,0.4,0.0
3,14.96,1.0,0.44,1.0
0,13.99,0.0,0.13,0.0
0,7.49,0.0,0.12,0.0
0,14.79,0.0,0.07,0.0
